sampling_step,points_before,points_after,kept_pct
1,175830,175830,100.0
5,175830,35166,20.0
10,175830,17583,10.0
20,175830,8792,5.000284365580391
50,175830,3517,2.000227492464312
100,175830,1759,1.0003981118125462
