CLUSTER_ID,N_TRAJECTORIES,N_USERS,AVG_POINTS,AVG_CELLS,START_CELL,END_CELL
629,2,2,2221.5,39.5,15533:486,15536:490
34,2,2,1144.5,25.5,15546:479,15541:492
426,2,2,799.0,25.0,15552:503,15540:493
720,2,2,291.0,19.0,15528:471,15530:497
11,2,2,512.5,17.0,15528:480,15528:473
180,2,2,897.0,14.5,15548:481,15541:481
62,2,2,924.5,13.5,15544:481,15544:493
296,2,2,834.5,13.5,15547:486,15548:486
390,2,2,331.5,11.5,15542:496,15539:499
409,2,2,434.5,10.5,15539:490,15536:479
27,2,2,682.0,9.5,15532:502,15534:498
170,2,2,251.5,9.5,15547:484,15547:484
241,2,2,255.0,8.5,15543:488,15550:488
563,2,2,438.0,8.5,15532:500,15532:500
117,2,2,364.0,8.0,15552:482,15549:486
787,2,2,318.0,8.0,15528:482,15531:478
135,2,2,215.0,7.5,15547:493,15552:478
417,2,2,1024.0,7.5,15535:480,15536:478
511,2,2,260.5,7.0,15545:500,15545:496
1038,2,2,392.0,6.5,15541:491,15541:491
575,2,2,253.0,5.5,15535:496,15539:492
771,10,1,1139.7,42.2,15544:484,15548:473
125,7,1,1085.2857142857142,40.142857142857146,15527:488,15513:469
429,7,1,544.5714285714286,12.857142857142858,15541:501,15545:509
