USER_ID,N_POINTS,MIN_LAT,MAX_LAT,MIN_LON,MAX_LON,N_TRAJECTORIES,MEAN_LAT,MEAN_LON,ZONE_CELL,ZONE_CELL_SIZE_M
10_3125,19994,48.83967629,48.89135933,2.32568497,2.38618722,60,48.870261018140994,2.34910328031496,906:28,6000
16_3797,8656,48.86608044,48.89990072,2.333487307,2.38519627,48,48.88099739073447,2.3556971213659255,906:28,6000
16_3937,13884,48.84390539,48.88836025,2.27416999,2.39155385,45,48.87598658298742,2.3402110664515043,906:28,6000
16_4058,19693,48.80724037,48.93591327,2.24820263,2.5212189,44,48.86928335872581,2.353215279515105,906:28,6000
2_1932,13096,48.77822881,48.87629926,2.22573549,2.41300485,42,48.85287268938286,2.3159868958243233,906:28,6000
46_0793,12531,48.82366865,48.87432544,2.3188047233333333,2.43643288,41,48.84126658582423,2.353385026193829,906:28,6000
46_0883,7628,48.83386521,48.85688853,2.2808327,2.33083247,40,48.84711514170872,2.3004093009000197,906:28,6000
16_3834,14276,48.66302295,48.90500617,2.26474598,2.47641861,39,48.86481653961705,2.3251285178338694,906:28,6000
46_0868,7783,48.75154645,48.91494942,2.2137664,2.38771168375,39,48.83792034358061,2.2967407874425327,906:28,6000
12_3194,11553,48.81854539,49.24759429,2.2386757128571437,2.58683286,38,48.849220914802274,2.297166624972738,906:28,6000
14_3700,8303,48.83785967,48.88806444,2.32008747,2.37606889,37,48.85208450991051,2.3424160233215496,906:28,6000
13_3429,8296,48.74006395,49.01491699,2.26711374,2.38647244,36,48.84743177009817,2.3646759415379943,906:28,6000
2_1856,8284,48.77335779,48.92984611,2.222811525,2.49199946,36,48.837730781886606,2.3596931985278857,906:28,6000
16_3823,18081,48.81577636,48.87564936794873,2.25676947,2.3870964,35,48.84357857810813,2.303013949449292,906:28,6000
14_3720,11163,48.86295448,48.884915340000006,2.30826371,2.67588773,35,48.87325009555416,2.3291121358227604,906:28,6000
42_0059,7837,48.84699239,48.89778537,2.283558268333333,2.36930525,35,48.87087761324886,2.3414124328496184,906:28,6000
45_664,20842,48.80854746,48.90109135,2.2907535775,2.64322254,34,48.83617550927468,2.3611196421760985,906:28,6000
16_3765,14015,48.83911924,48.93065845,2.21266833,2.37367892,34,48.87055433057257,2.3296307359859885,906:28,6000
42_0516,6382,48.82955918,48.90078022,2.28613014,2.392852527954546,34,48.87205343545309,2.350033009758803,906:28,6000
42_0008,6058,48.82031191,48.87342459,2.33040472,2.37232556,34,48.8556205964566,2.3571605929757915,906:28,6000
2_1877,30293,48.8042847,48.9003251,2.305668675,2.36526175,33,48.85387393883896,2.3348186890362825,906:28,6000
14_3613,22536,48.82148697,48.8922075,2.25589913,2.40622958,33,48.851354530497815,2.3308806619479636,906:28,6000
16_3961,10633,48.84468297,48.87250156,2.34236251,2.40207529,33,48.85981516153153,2.3583920426670733,906:28,6000
16_3905,13897,48.79424673,49.03978518,2.13172418,2.51067123,32,48.8489262587031,2.3473927241486323,906:28,6000
12_3232,10473,48.82230497,48.8986784,2.31577423,2.43597661,32,48.85961798411234,2.361848196696033,906:28,6000
2_1964,10109,48.82955266,48.892702500000006,2.32512221,2.40751051,32,48.86135238589525,2.3653044880645644,906:28,6000
16_3793,9630,48.782374025,48.87290323,2.31512754,2.40981382,32,48.848456704824166,2.3661679999198966,906:28,6000
16_3885,9501,48.74378713,48.85897233,2.30443078,2.57073504,32,48.832805545155864,2.3501767212710467,906:28,6000
16_4034,10861,48.83685677,48.88454796,2.2722557,2.39535813,31,48.862709928039024,2.323285674476564,906:28,6000
2_1966,7960,48.81094871,48.86410823,2.15036895,2.36023105,31,48.846733200968394,2.3047266597779204,906:28,6000
16_3915,6702,48.84583104,48.88503728,2.32129107,2.38489871,31,48.86077129648719,2.3619185500492437,906:28,6000
42_0368,15412,48.80044712,48.88201705,2.28647979,2.44887814,30,48.84200690532553,2.3693188947556254,906:28,6000
42_0066,5398,48.84443864,48.89615831,2.29600889,2.41254872,30,48.88133999026429,2.3716477400412344,906:28,6000
16_4037,4579,48.82459739,48.86264854,2.29830844,2.3766075,30,48.83960866528506,2.341770532474121,906:28,6000
